Roky;Území;Ukazatel;value
2023;Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);4023.8313255741
2023;Česko;Meziroční index počtu zaměstnanců – přepočtený (%) ;99.8626323634
2023;Česko;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;43120.4942893914
2023;Česko;Meziroční index mzdy - přepočtené počty zaměstnanců (%);107.9839885452
2023;Česko;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);4226.1590540687
2023;Česko;Meziroční index počtu zaměstnanců - fyzické osoby (%);100.0397917376
2023;Česko;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;41056.0969135428
2023;Česko;Meziroční index mzdy – fyzické osoby (%) ;107.7927608796
2023;Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);853.6810679443
2023;Hlavní město Praha;Meziroční index počtu zaměstnanců – přepočtený (%) ;101.7059817986
2023;Hlavní město Praha;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;53506.5846390391
2023;Hlavní město Praha;Meziroční index mzdy - přepočtené počty zaměstnanců (%);107.4494528974
2023;Hlavní město Praha;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);907.7734598148
2023;Hlavní město Praha;Meziroční index počtu zaměstnanců - fyzické osoby (%);102.07365231
2023;Hlavní město Praha;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;50318.2350429428
2023;Hlavní město Praha;Meziroční index mzdy – fyzické osoby (%) ;107.0624186882
2023;Středočeský kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);416.2694755027
2023;Středočeský kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;99.9415435597
2023;Středočeský kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;43728.1466052758
2023;Středočeský kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);107.8897508675
2023;Středočeský kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);434.3860274799
2023;Středočeský kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);100.0524414616
2023;Středočeský kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;41904.415659239
2023;Středočeský kraj;Meziroční index mzdy – fyzické osoby (%) ;107.7701661094
2023;Jihočeský kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);216.6836588049
2023;Jihočeský kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;99.0628310378
2023;Jihočeský kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;39627.8344934507
2023;Jihočeský kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);108.4673450879
2023;Jihočeský kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);226.927246174
2023;Jihočeský kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);99.3389612091
2023;Jihočeský kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;37839.018070011
2023;Jihočeský kraj;Meziroční index mzdy – fyzické osoby (%) ;108.1658409628
2023;Plzeňský kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);217.2324440466
2023;Plzeňský kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;100.5017726602
2023;Plzeňský kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;40845.8444801713
2023;Plzeňský kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);107.8369366214
2023;Plzeňský kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);227.336994871
2023;Plzeňský kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);100.719777107
2023;Plzeňský kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;39030.3506501899
2023;Plzeňský kraj;Meziroční index mzdy – fyzické osoby (%) ;107.6035273308
2023;Karlovarský kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);81.4497412169
2023;Karlovarský kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;99.5666753993
2023;Karlovarský kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;37162.156536666
2023;Karlovarský kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);107.8076982607
2023;Karlovarský kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);85.106305747
2023;Karlovarský kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);99.3265087904
2023;Karlovarský kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;35565.4966621171
2023;Karlovarský kraj;Meziroční index mzdy – fyzické osoby (%) ;108.0683719682
2023;Ústecký kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);240.0870254113
2023;Ústecký kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;99.2314323586
2023;Ústecký kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;40070.5130559827
2023;Ústecký kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);108.496087152
2023;Ústecký kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);250.0471862446
2023;Ústecký kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);99.3126452298
2023;Ústecký kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;38474.3792993655
2023;Ústecký kraj;Meziroční index mzdy – fyzické osoby (%) ;108.4073645252
2023;Liberecký kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);142.6429275425
2023;Liberecký kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;99.1584273386
2023;Liberecký kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;39039.3597224263
2023;Liberecký kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);108.2781133505
2023;Liberecký kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);149.519956774
2023;Liberecký kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);99.344438157
2023;Liberecký kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;37243.781233904
2023;Liberecký kraj;Meziroční index mzdy – fyzické osoby (%) ;108.0753752722
2023;Královéhradecký kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);197.325132984
2023;Královéhradecký kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;99.4418333675
2023;Královéhradecký kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;40021.3957615493
2023;Královéhradecký kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);107.5380154945
2023;Královéhradecký kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);206.8261750851
2023;Královéhradecký kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);99.5241929434
2023;Královéhradecký kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;38182.919727665
2023;Královéhradecký kraj;Meziroční index mzdy – fyzické osoby (%) ;107.4490242143
2023;Pardubický kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);181.2480119714
2023;Pardubický kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;98.5926249695
2023;Pardubický kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;38421.8911840635
2023;Pardubický kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);107.9615697945
2023;Pardubický kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);189.695518293
2023;Pardubický kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);98.8464042413
2023;Pardubický kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;36710.8904625528
2023;Pardubický kraj;Meziroční index mzdy – fyzické osoby (%) ;107.6843881531
2023;Kraj Vysočina;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);170.0158195413
2023;Kraj Vysočina;Meziroční index počtu zaměstnanců – přepočtený (%) ;98.8038395324
2023;Kraj Vysočina;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;39370.3386999437
2023;Kraj Vysočina;Meziroční index mzdy - přepočtené počty zaměstnanců (%);108.2437797458
2023;Kraj Vysočina;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);177.3329336174
2023;Kraj Vysočina;Meziroční index počtu zaměstnanců - fyzické osoby (%);99.0047945889
2023;Kraj Vysočina;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;37745.8392141187
2023;Kraj Vysočina;Meziroční index mzdy – fyzické osoby (%) ;108.0240718522
2023;Jihomoravský kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);468.5927367016
2023;Jihomoravský kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;99.6317833568
2023;Jihomoravský kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;42337.9459563156
2023;Jihomoravský kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);108.2077328998
2023;Jihomoravský kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);494.3675940803
2023;Jihomoravský kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);99.7834196105
2023;Jihomoravský kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;40130.5712582166
2023;Jihomoravský kraj;Meziroční index mzdy – fyzické osoby (%) ;108.0432946063
2023;Olomoucký kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);218.5292747906
2023;Olomoucký kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;99.2303373608
2023;Olomoucký kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;38636.6445473214
2023;Olomoucký kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);107.0270001543
2023;Olomoucký kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);229.8124611139
2023;Olomoucký kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);99.2827751398
2023;Olomoucký kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;36739.6871011441
2023;Olomoucký kraj;Meziroční index mzdy – fyzické osoby (%) ;106.9704721396
2023;Zlínský kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);201.6690980287
2023;Zlínský kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;98.7560864779
2023;Zlínský kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;38503.6922552712
2023;Zlínský kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);107.7281250858
2023;Zlínský kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);210.4160548868
2023;Zlínský kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);98.7794641923
2023;Zlínský kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;36903.100821252
2023;Zlínský kraj;Meziroční index mzdy – fyzické osoby (%) ;107.70262953
2023;Moravskoslezský kraj;Průměrný evidenční počet zaměstnanců přepočtený (tis.osob);415.0821178923
2023;Moravskoslezský kraj;Meziroční index počtu zaměstnanců – přepočtený (%) ;99.2438153204
2023;Moravskoslezský kraj;Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;38908.3474716343
2023;Moravskoslezský kraj;Meziroční index mzdy - přepočtené počty zaměstnanců (%);108.1316463931
2023;Moravskoslezský kraj;Průměrný evidenční počet zaměstnanců - fyzické osoby (tis. osob);433.2226052813
2023;Moravskoslezský kraj;Meziroční index počtu zaměstnanců - fyzické osoby (%);99.2757791151
2023;Moravskoslezský kraj;Průměrná hrubá měsíční mzda – fyzické osoby (Kč) ;37279.1241161711
2023;Moravskoslezský kraj;Meziroční index mzdy – fyzické osoby (%) ;108.0968312773
